armLemma	armForm	pos	pos_coarse	feats
Գաղիղեա	Գաղիղեա	N	Ne	NUMBs|CASEl
Գաղիղեա	Գաղիղեա՛	N	Ne	NUMBs|CASEa
Գաղիղեա	Գաղիղեայ	N	Ne	NUMBs|CASEg
Գաղիղեա	Գաղիղեէ	N	Ne	NUMBs|CASEb
Գաղիղեա	Գաղիղեէ̈	N	Ne	NUMBs|CASEb
Գաղիղեացʻի	Գաղիղեացʻի	N	Nb	NUMBs|CASEn
Գաղիղեացʻի	Գաղիղեացʻիս	N	Nb	NUMBp|CASEa
Գաղիղեացʻի	Գաղիղեացʻիքʻ	N	Nb	NUMBp|CASEn
Գաղիղեացʻի	Գաղիղեացʻւոցʻ	N	Nb	NUMBp|CASEg
Գերգեսացʻի	Գերգեսացʻւո՛ցʻ	N	Ne	NUMBp|CASEg
Գերգեսացʻի	Գերգեսացʻւոցʻ	N	Ne	NUMBp|CASEg
Դաւիթʻ	Դաւթʻի	N	Ne	NUMBs|CASEg
Դաւիթʻ	Դաւիթʻ	N	Ne	NUMBs|CASEn
Եղիսաբեթʻ	Եղիսա՛բեթʻ	N	Ne	NUMBs|CASEn
Եղիսաբեթʻ	Եղիսաբեթʻ	N	Ne	NUMBs|CASEn
Եղիսաբեթʻ	Եղիսաբեթʻի	N	Ne	NUMBs|CASEd
Եղիսաբեթʻ	Էղիսաբեթʻ	N	Ne	NUMBs|CASEn
Եղիսէ	Եղիսեիւ	N	Ne	NUMBs|CASEi
Եմմաւուս	Եմմաւո՛ւս	N	Ne	NUMBs|CASEn
Երիքʻով	Երիքʻով	N	Ne	NUMBs|CASEa
Երուսաղեմ	Երուսաղե՛մ	N	Ne	NUMBs|CASEa
Երուսաղեմ	Երուսաղե՛մ	N	Ne	NUMBs|CASEl
Երուսաղեմ	Երուսաղե՛մ	N	Ne	NUMBs|CASEv
Երուսաղեմ	Երուսաղեմ	N	Ne	NUMBs|CASEa
Երուսաղեմ	Երուսաղեմ	N	Ne	NUMBs|CASEn
Երուսաղեմ	Երուսաղեմէ	N	Ne	NUMBs|CASEb
Երուսաղեմ	Երուսաղեմի	N	Ne	NUMBs|CASEg
Զակքʻէոս	Զակքʻէ՛	N	Ne	NUMBs|CASEv
Զակքʻէոս	Զակքʻէ՛ոս	N	Ne	NUMBs|CASEn
Զակքʻէոս	Զակքʻէոս	N	Ne	NUMBs|CASEn
Զաքʻարիա	Զաքʻա՛րիա	N	Ne	NUMBs|CASEa
Զաքʻարիա	Զաքʻա՛րիա	N	Ne	NUMBs|CASEn
Զաքʻարիա	Զաքʻարի՛ա	N	Ne	NUMBs|CASEn
Զաքʻարիա	Զաքʻարի՛ա	N	Ne	NUMBs|CASEv
Զաքʻարիա	Զաքʻարիա	N	Ne	NUMBs|CASEn
Զաքʻարիա	Զաքʻարիայ	N	Ne	NUMBs|CASEd
Զաքʻարիա	Զաքʻարիայ	N	Ne	NUMBs|CASEg
Զեբեդեոս	Զեբեդեայ	N	Ne	NUMBs|CASEg
Թʻեոփʻիղոս	Թʻեոփʻիղէ	N	Ne	NUMBs|CASEv
Թʻովմաս	Թʻո՛վմաս	N	Ne	NUMBs|CASEa
Իսահակ	Իսահակ	N	Ne	NUMBs|CASEa
Իսահակ	Սահակայ	N	Ne	NUMBs|CASEg
Իսկարիովտացʻի	Իսկարիովտացʻի	N	Ne	NUMBs|CASEa
Իսկարիովտացʻի	Իսկարիովտացʻի	N	Ne	NUMBs|CASEn
Իսրայեղ	Իսրայեղ	N	Ne	NUMBs|CASEa
Իսրայեղ	Իսրայեղի	N	Ne	NUMBs|CASEd
Իսրայեղ	Իսրայեղի	N	Ne	NUMBs|CASEg
Իսրայեղ	Իսրայեղի	N	Ne	NUMBs|CASEl
Իտուրացʻի	ի̈տուրացʻւոցʻ	N	Nb	NUMBp|CASEg
Լիւսանի	Լիսանեայ	N	Ne	NUMBs|CASEg
Կիւրենիոս	Կիւրենեայ	N	Ne	NUMBs|CASEg
Կիւրէնացʻի	Կիւրէնացʻի	N	Nb	NUMBs|CASEa
Կղեոպաս	Կղեո՛պաս	N	Ne	NUMBs|CASEn
Հերովդիա	Հէր_ով_դիա	N	Ne	NUMBs|CASEg
Հրեայ	հրէիցʻ	N	Nb	NUMBp|CASEb
Ղազարոս	Ղա՛զարոս	N	Ne	NUMBs|CASEa
Ղազարոս	Ղազարոս	N	Ne	NUMBs|CASEa
Ղազարոս	Ղազարոս	N	Ne	NUMBs|CASEn
Ղեւի	Ղեւի	N	Ne	NUMBs|CASEn
Ղեւտացʻի	Ղեւտացʻի	N	Nb	NUMBs|CASEn
Ղովտ	Ղովթʻայ	N	Ne	NUMBs|CASEg
Ղովտ	Ղովտ	N	Ne	NUMBs|CASEn
Ղովտ	Ղովտայ	N	Ne	NUMBs|CASEg
Ղուկաս	Ղուկայ	N	Ne	NUMBs|CASEd
Մակդաղէնացʻի	Մագդաղէնացʻի	N	Ne	NUMBs|CASEn
Մակդաղէնացʻի	Մակդաղէնացʻի	N	Ne	NUMBs|CASEn
Մատթʻեոս	Մատթʻե՛ոս	N	Ne	NUMBs|CASEa
Մարթʻա	Մա՛րթʻա	N	Ne	NUMBs|CASEv
Մարթʻա	Մարթʻա	N	Ne	NUMBs|CASEn
Մովսէս	Մովսէս	N	Ne	NUMBs|CASEa
Մովսէս	Մովսէս	N	Ne	NUMBs|CASEn
Մովսէս	Մովսէսէ	N	Ne	NUMBs|CASEb
Մովսէս	Մովսէսի	N	Ne	NUMBs|CASEd
Մովսէս	Մովսէսի	N	Ne	NUMBs|CASEg
Մովսէս	Մովսէսի՛	N	Ne	NUMBs|CASEd
Յա՛կովբ	Յակովբ	N	Ne	NUMBs|CASEa
Յակովբ	Յակովբայ	N	Ne	NUMBs|CASEg
Յակովբ	Յակովբոս	N	Ne	NUMBs|CASEa
Յակովբոս	Յա՛կովբոս	N	Ne	NUMBs|CASEa
Յակովբոս	Յակովբ_ոս_	N	Ne	NUMBs|CASEa
Յակովբոս	Յակովբոս	N	Ne	NUMBs|CASEa
Յակովբոս	Յակովբոս	N	Ne	NUMBs|CASEn
Յայրոս	Յայրոս	N	Ne	NUMBs|CASEn
Յիսուս	Յիսո՛ւս	N	Ne	NUMBs|CASEn
Յիսուս	Յիսո՛ւս	N	Ne	NUMBs|CASEv
Յիսուս	Յիսուս	N	Ne	NUMBs|CASEa
Յիսուս	Յիսուս	N	Ne	NUMBs|CASEn
Յիսուս	Յիսուս	N	Ne	NUMBs|CASEv
Յիսուս	Յիսուսէ	N	Ne	NUMBs|CASEb
Յիսուս	Յիսուսի	N	Ne	NUMBs|CASEd
Յիսուս	Յիսուսի	N	Ne	NUMBs|CASEg
Յովաննա	Յովաննա	N	Ne	NUMBs|CASEn
Յովհաննա	Յովհաննա	N	Ne	NUMBs|CASEn
Յովնան	Յովնան	N	Ne	NUMBs|CASEa
Յովնան	Յովնան	N	Ne	NUMBs|CASEn
Յովնան	Յովնանու	N	Ne	NUMBs|CASEg
Յովսէփʻ	Յովսէփʻ	N	Ne	NUMBs|CASEa
Յովսէփʻ	Յովսէփʻ	N	Ne	NUMBs|CASEn
Յովսէփʻ	Յովսէփʻայ	N	Ne	NUMBs|CASEg
Յորդանան	Յորդանանէ	N	Ne	NUMBs|CASEb
Յորդանան	յորդանանու	N	Ne	NUMBs|CASEg
Նազարէթʻ	Նազարեթʻ	N	Ne	NUMBs|CASEa
Նազարէթʻ	Նազարեթʻ	N	Ne	NUMBs|CASEn
Նազարէթʻ	Նազարեթʻէ	N	Ne	NUMBs|CASEb
Նազովրեցʻի	Նազովրացʻւոյ	N	Nb	NUMBs|CASEb
Նազովրեցʻի	Նազովրեցʻի	N	Nb	NUMBs|CASEn
Նազովրեցʻի	Նազովրեցʻի	N	Nb	NUMBs|CASEv
Նային	Նային	N	Ne	NUMBs|CASEn
Նեեման	Նեեման	N	Ne	NUMBs|CASEn
Նինուէացʻի	Նինուէացʻիքʻ	N	Nb	NUMBp|CASEn
Նինուէացʻի	Նինուէացʻւոցʻ	N	Nb	NUMBp|CASEd
Նոյ	Նոյ	N	Ne	NUMBs|CASEn
Նոյ	Նոյի	N	Ne	NUMBs|CASEg
Շուշան	Շուշան	N	Ne	NUMBs|CASEn
Պետրոս	Պ_ետ_րոս	N	Ne	NUMBs|CASEn
Պետրոս	Պե՛տրե	N	Ne	NUMBs|CASEv
Պետրոս	Պե՛տրոս	N	Ne	NUMBs|CASEa
Պետրոս	Պետր_ոս_	N	Ne	NUMBs|CASEn
Պետրոս	Պետրոս	N	Ne	NUMBs|CASEa
Պետրոս	Պետրոս	N	Ne	NUMBs|CASEn
Պիղատոս	Պիղատոս	N	Ne	NUMBs|CASEa
Պիղատոս	Պիղատոս	N	Ne	NUMBs|CASEn
Պիղատոս	Պիղատոսի	N	Ne	NUMBs|CASEg
Պոնտացʻի	Պոնտացʻւոյ	N	Nb	NUMBs|CASEg
Պրոբատիկէ	Պրոբատիկէ	F	F-	INFLn
Սադուկեցʻի	Սադուկեցʻւոցʻ	N	Nb	NUMBp|CASEb
Սաղոմովն	Սաղովմովն	N	Ne	NUMBs|CASEa
Սաղոմովն	Սաղովմովն	N	Ne	NUMBs|CASEn
Սաղոմովն	Սաղովմովնի	N	Ne	NUMBs|CASEg
Սամարացʻի	Սամարացʻի	N	Nb	NUMBs|CASEn
Սամարացʻի	Սամարացʻի՛	N	Nb	NUMBs|CASEn
Սամարացʻի	Սամարացʻւոցʻ	N	Nb	NUMBp|CASEg
Սամարիա	Սամարեայ	N	Ne	NUMBs|CASEg
Սարեփʻթʻա	Սարեփʻթʻա	N	Ne	NUMBs|CASEa
Սիդոնացʻի	Սիդովնացʻւոցʻ	N	Nb	NUMBp|CASEg
Սիդովն	Սիդովն	N	Ne	NUMBs|CASEl
Սիդովն	Սիդովնի	N	Ne	NUMBs|CASEd
Սիդովն	Սիդովնի	N	Ne	NUMBs|CASEg
Սիղովամ	Սիղովամ	A	A-	NUMBs|CASEl
Սիմեովն	Սիմեովն	N	Ne	NUMBs|CASEn
Սիմովն	Սի՛մովն	N	Ne	NUMBs|CASEa
Սիմովն	Սիմովն	N	Ne	NUMBs|CASEa
Սիմովն	Սիմովն	N	Ne	NUMBs|CASEn
Սիմովն	Սիմովն	N	Ne	NUMBs|CASEv
Սիմովն	Սիմովնի	N	Ne	NUMBs|CASEd
Սիմովն	Սիմովնի	N	Ne	NUMBs|CASEg
Սոդոմ	Սոդոմայ	N	Ne	NUMBs|CASEl
Սոդոմացʻի	Սոդոմացʻւոցʻ	N	Nb	NUMBp|CASEd
Տէր	ՏՆ	N	Nb	NUMBs|CASEg
Տէր	Տեա՛ռ̄ն	N	Nb	NUMBs|CASEd
Տէր	Տեառ̄ն	N	Nb	NUMBs|CASEd
Տէր	Տեառ̄ն	N	Nb	NUMBs|CASEg
Տէր	Տեառ̄նէ	N	Nb	NUMBs|CASEb
Տէր	Տէ՛ր	N	Nb	NUMBs|CASEn
Տէր	Տէ՛ր	N	Nb	NUMBs|CASEv
Տէր	Տէր	N	Nb	NUMBs|CASEa
Տէր	Տէր	N	Nb	NUMBs|CASEn
Տէր	Տէր	N	Nb	NUMBs|CASEv
Տէր	տեառ̄ն	N	Nb	NUMBs|CASEd
Տէր	տեարքʻ	N	Nb	NUMBp|CASEn
Տէր	տերանցʻ	N	Nb	NUMBp|CASEd
Տէր	տէր	N	Nb	NUMBs|CASEn
Տիւրոս	Տիւրոս	N	Ne	NUMBs|CASEl
Տիւրոս	Տիւրոսի	N	Ne	NUMBs|CASEd
Տիւրոս	Տիւրոսի	N	Ne	NUMBs|CASEg
Տրաքʻոնացʻի	Տրաքʻոնացʻւոցʻ	N	Nb	NUMBp|CASEg
Փʻանուէղ	Փʻանուէղի	N	Ne	NUMBs|CASEg
Փʻարիսեցʻի	Փʻարիսեցʻւոցʻ	M	Mo	NUMBp|CASEd
Փʻիղիպպոս	Փʻիղի՛պպոս	N	Ne	NUMBs|CASEa
Փʻիղիպպոս	Փʻիղիպպոսի	N	Ne	NUMBs|CASEg
Քʻորազին	Քʻորազին	N	Ne	NUMBs|CASEv
Քʻուզաս	Քʻուզայ	N	Ne	NUMBs|CASEg
Քʻրիստոս	Քʻրիստոս	N	Ne	NUMBs|CASEa
Քʻրիստոս	Քʻրիստոս	N	Ne	NUMBs|CASEn
Քʻրիստոս	Քʻրիստոսի	N	Ne	NUMBs|CASEd
աqեմ	աճեացʻ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
ագահութʻիւն	ագահութʻենէ	N	Nb	NUMBs|CASEb
ագանիմ#1	ագանէր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
ագանիմ#2	ագանե՛լ	V	V-	MOODn
ագանիմ#2	ագանել	V	V-	MOODn
ագանիմ#2	ագանէ՛ր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
ագանիմ#2	ագանիջիքʻ	V	V-	PERS2|NUMBp|TENSp|MOODs|VOICa
ագանիմ#2	ագիր	V	V-	PERS2|NUMBs|TENSa|MOODm|VOICp
ագանիմ#2	ագջիքʻ	V	V-	PERS2|NUMBp|TENSa|MOODs|VOICa
ագարակ	ագարակ	N	Nb	NUMBs|CASEa
ագարակ	ագարակէ	N	Nb	NUMBs|CASEb
ագարակ	ագարակի՛	N	Nb	NUMBs|CASEl
ագարակ	ագարակս	N	Nb	NUMBp|CASEa
ագարակ	ագարակս	N	Nb	NUMBp|CASEl
ագուցʻանեմ	ագուցʻէքʻ	V	V-	PERS2|NUMBp|TENSa|MOODm|VOICa
ագռ̄աւ	ագռ̄աւս	N	Nb	NUMBp|CASEa
ազգ	ազգ	N	Nb	NUMBs|CASEa
ազգ	ազգ	N	Nb	NUMBs|CASEn
ազգ	ազգացʻ	N	Nb	NUMBp|CASEb
ազգ	ազգացʻ	N	Nb	NUMBp|CASEg
ազգ	ազգէ	N	Nb	NUMBs|CASEb
ազգ	ազգի	N	Nb	NUMBs|CASEd
ազգ	ազգի	N	Nb	NUMBs|CASEg
ազգ	ազգի	N	Nb	NUMBs|CASEl
ազգ	ազգս	N	Nb	NUMBp|CASEa
ազգ	ազգքʻ	N	Nb	NUMBp|CASEn
ազգական	ազգական	N	Nb	NUMBs|CASEn
ազգական	ազգականացʻ	N	Nb	NUMBp|CASEb
ազգական	ազգականս	N	Nb	NUMBp|CASEa
ազգատոհմ	ազգատոհմ	N	Nb	NUMBs|CASEn
ազդ	Ազդ	A	A-	NUMBs|CASEn
ազնիւ	ազնի՛ւ	I	I-	INFLn
ազնիւ	ազնուի	A	A-	NUMBs|CASEg
ազնուական	ազնուական	A	A-	NUMBs|CASEn
աթʻոռ̄	աթʻոռ̄	N	Nb	INFLn
աթʻոռ̄	աթʻոռ̄	N	Nb	NUMBs|CASEa
աթʻոռ̄	աթʻոռ̄ոցʻ	N	Nb	NUMBp|CASEb
ալիւր	ալեր	N	Nb	NUMBs|CASEl
ախտաժէտ	ախտաժետս	A	A-	NUMBp|CASEa
ական	ական	N	Nb	NUMBs|CASEa
ականատես	ականատեսքʻ	N	Nb	NUMBp|CASEn
ակն	Ակն	N	Nb	NUMBs|CASEa
ակն	ա՛կն	N	Nb	NUMBs|CASEa
ակն	ա՛կն	N	Nb	NUMBs|CASEn
ակն	ական	N	Nb	NUMBs|CASEl
ակն	ականէ	N	Nb	NUMBs|CASEb
ակն	ակն	N	Nb	NUMBs|CASEa
ակն	ակն	N	Nb	NUMBs|CASEn
ակն	աչʻացʻ	N	Nb	NUMBp|CASEd
ակն	աչʻս	N	Nb	NUMBp|CASEa
ակն	աչʻքʻ	N	Nb	NUMBp|CASEn
ակնարկեմ	ակնարկեին	V	V-	PERS3|NUMBp|TENSi|MOODi|VOICa
ահ	ա՛հ	N	Nb	NUMBs|CASEn
ահ	ահ	N	Nb	NUMBs|CASEn
ահ	ահի	N	Nb	NUMBs|CASEl
ահ	ահիւ	N	Nb	NUMBs|CASEi
ահա	Ահա	I	I-	INFLn
ահա	ահա	I	I-	INFLn
ահաւադիկ	ահաւադիկ	I	I-	INFLn
ահաւանիկ	ահաւանիկ	I	I-	INFLn
ահաւասիկ	ահաւասիկ	I	I-	INFLn
ահեղ	ահեղ	A	A-	INFLn
աղ	աղ	N	Nb	NUMBs|CASEn
աղախին	աղախին	N	Nb	NUMBs|CASEn
աղախին	աղախնայս	N	Nb	NUMBp|CASEa
աղախին	աղախնոյ	N	Nb	NUMBs|CASEg
աղաղակեմ	Աղաղակեացʻ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
աղաղակեմ	աղաղակեալ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
աղաղակեմ	աղաղակեացʻ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
աղաղակեմ	աղաղակեին	V	V-	PERS3|NUMBp|TENSi|MOODi|VOICa
աղաղակեմ	աղաղակեն	V	V-	PERS3|NUMBp|TENSp|MOODi|VOICa
աղաղակեմ	աղաղակեսցʻեն	V	V-	PERS3|NUMBp|TENSa|MOODs|VOICa
աղաղակեմ	աղաղակէր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
աղամ	աղալ	V	V-	MOODn
աղաչʻեմ	Աղաչʻէր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
աղաչʻեմ	աղաչʻեացʻ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
աղաչʻեմ	աղաչʻեին	V	V-	PERS3|NUMBp|TENSi|MOODi|VOICa
աղաչʻեմ	աղաչʻեմ	V	V-	PERS1|NUMBs|TENSp|MOODi|VOICa
աղաչʻեմ	աղաչʻեսցʻէ	V	V-	PERS3|NUMBs|TENSa|MOODs|VOICa
աղաչʻեմ	աղաչʻեցʻէքʻ	V	V-	PERS2|NUMBp|TENSa|MOODm|VOICa
աղաչʻեմ	աղաչʻեցʻի	V	V-	PERS1|NUMBs|TENSa|MOODi|VOICa
աղաչʻեմ	աղաչʻեցʻին	V	V-	PERS3|NUMBp|TENSa|MOODi|VOICa
աղաչʻեմ	աղաչʻէ՛ր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
աղաչʻեմ	աղաչʻէր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
աղաւթʻքʻ	աղա՛ւթʻս	N	Nb	NUMBp|CASEa
աղաւթʻքʻ	աղա՛ւթʻս	N	Nb	NUMBp|CASEl
աղաւթʻքʻ	աղաւթʻիցʻ	N	Nb	NUMBp|CASEb
աղաւթʻքʻ	աղաւթʻիցʻ	N	Nb	NUMBp|CASEg
աղաւթʻքʻ	աղաւթʻիւքʻ	N	Nb	NUMBp|CASEi
աղաւթʻքʻ	աղաւթʻս	N	Nb	NUMBp|CASEa
աղաւթʻքʻ	աղաւթʻս	N	Nb	NUMBp|CASEl
աղաւթʻքʻ	աղաւթʻքʻ	N	Nb	NUMBp|CASEn
աղաւնեվաճառ̄	աղաւնեվաճառ̄ս	N	Nb	NUMBp|CASEa
աղաւնի	աղաւնեացʻ	N	Nb	NUMBp|CASEg
աղաւնի	աղաւնի	N	Nb	NUMBs|CASEa
աղբ	աղբ	N	Nb	NUMBs|CASEa
աղէ	աղէ	I	I-	INFLn
աղուէս	աղուեսու	N	Nb	NUMBs|CASEd
աղուէս	աղուեսուցʻ	N	Nb	NUMBp|CASEg
աղքʻատ	աղքʻա՛տս	A	A-	NUMBp|CASEa
աղքʻատ	աղքʻատ	A	A-	NUMBs|CASEa
աղքʻատ	աղքʻատ	A	A-	NUMBs|CASEn
աղքʻատ	աղքʻատացʻ	A	A-	NUMBp|CASEd
աղքʻատ	աղքʻատի	A	A-	NUMBs|CASEd
աղքʻատ	աղքʻատս	A	A-	NUMBp|CASEa
աղքʻատ	աղքʻատքʻ	A	A-	NUMBp|CASEn
աճեմ	Ածին	V	V-	PERS3|NUMBp|TENSa|MOODi|VOICa
աճեմ	ա՛ծ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
աճեմ	ած	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
աճեմ	ածեալ	V	V-	NUMBs|MOODp|CASEn
աճեմ	ածել	V	V-	MOODn
աճեմ	ածէքʻ	V	V-	PERS2|NUMBp|TENSa|MOODm|VOICa
աճեմ	ածի	V	V-	PERS1|NUMBs|TENSa|MOODi|VOICa
աճեմ	ածի՛ն	V	V-	PERS3|NUMBp|TENSa|MOODi|VOICa
աճեմ	ածին	V	V-	PERS3|NUMBp|TENSa|MOODi|VOICa
աճեմ	ածիցʻէ	V	V-	PERS3|NUMBs|TENSp|MOODs|VOICa
աճեմ	ածցʻէ	V	V-	PERS3|NUMBs|TENSa|MOODs|VOICa
աճեմ	աճե	V	V-	PERS3|NUMBs|TENSp|MOODi|VOICa
աճեմ	աճէր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
ամ	ամ	N	Nb	NUMBs|CASEa
ամ	ամացʻ	N	Nb	NUMBp|CASEb
ամ	ամացʻ	N	Nb	NUMBp|CASEd
ամ	ամացʻ	N	Nb	NUMBp|CASEg
ամ	ամէ	N	Nb	NUMBs|CASEb
ամ	ամի	N	Nb	NUMBs|CASEl
ամ	ամի.ամի	N	Nb	NUMBs|CASEl
ամ	ամս	N	Nb	NUMBp|CASEa
ամ	ամքʻ	N	Nb	NUMBp|CASEn
ամաչʻեմ	ամաչʻեմ	V	V-	PERS1|NUMBs|TENSp|MOODi|VOICa
ամաչʻեմ	ամաչʻէր	V	V-	PERS3|NUMBs|TENSi|MOODi|VOICa
ամառ̄ն	ամառ̄ն	N	Nb	NUMBs|CASEn
ամաւթʻ	ամա՛ւթʻ	N	Nb	NUMBs|CASEa
ամաւթʻ	ամաւթʻ	N	Nb	NUMBs|CASEa
ամաւթʻ	ամաւթʻի՛	N	Nb	NUMBs|CASEl
ամաւթʻ	ամաւթʻո՛վ	N	Nb	NUMBs|CASEi
ամբառ̄նամ	ամբառ̄նալ	V	V-	MOODn
ամբառ̄նամ	ամբարձ	V	V-	PERS3|NUMBs|TENSa|MOODi|VOICa
ամբառ̄նամ	ամբարձեալ	V	V-	NUMBs|MOODp|CASEn
ամբառ̄նամ	ամբարձջիքʻ	V	V-	PERS2|NUMBp|TENSa|MOODs|VOICa
ամբաստանութʻիւն	ամբաստանութʻիւն	N	Nb	NUMBs|CASEn
ամբարտաւան	ամբարտաւանս	A	A-	NUMBp|CASEa
ամբոխ	ամբոխ	N	Nb	NUMBs|CASEn
ամբոխ	ամբոխէ	N	Nb	NUMBs|CASEb
ամբոխ	ամբոխի	N	Nb	NUMBs|CASEg
ամենայն	Ամենայն	P	Py	NUMBs|CASEn
ամենայն	Ամենայնի	P	Py	NUMBs|CASEd
ամենայն	ամենա՛յն	P	Py	NUMBs|CASEa
ամենայն	ամենա՛յն	P	Py	NUMBs|CASEn
ամենայն	ամենայն	P	Py	INFLn
ամենայն	ամենայն	P	Py	NUMBs|CASEa
ամենայն	ամենայն	P	Py	NUMBs|CASEn
ամենայն	ամենայնէ	P	Py	NUMBs|CASEb
ամենայն	ամենայնի	P	Py	NUMBs|CASEd
ամենայն	ամենայնի	P	Py	NUMBs|CASEg
ամենայն	ամենայնի	P	Py	NUMBs|CASEl
ամենայն	ամենայնիւ	P	Py	NUMBs|CASEi
ամենեւին	ամենեւին	D	Df	INFLn
ամենեքʻեան	ամենեսեան	P	Py	NUMBp|CASEa
ամենեքʻեան	ամենեցʻուն	P	Py	NUMBp|CASEd
ամենեքʻեան	ամենեցʻուն	P	Py	NUMBp|CASEg
ամենեքʻեան	ամենեցʻունցʻ	P	Py	NUMBp|CASEb
ամենեքʻեան	ամենեցʻունցʻ	P	Py	NUMBp|CASEd
ամենեքʻեան	ամենեքʻեան	P	Py	NUMBp|CASEn
ամենեքʻին	ամենեսին	P	Py	NUMBp|CASEa
ամենեքʻին	ամենեսին	P	Py	NUMBp|CASEl
ամենեքʻին	ամենեքʻեան	P	Py	NUMBp|CASEn
ամենեքʻին	ամենեքʻին	P	Py	NUMBp|CASEn
ամենեքʻին	ամենեքʻումբքʻ	P	Py	NUMBp|CASEi
ամէն	Ամէ՛ն	I	I-	INFLn
ամէն	ամէ՛ն	I	I-	INFLn
ամէն	ամէն	I	I-	INFLn
ամիս	ամիս	N	Nb	NUMBs|CASEa
ամիս	ամիս	N	Nb	NUMBs|CASEn
ամիս	ամիսս	N	Nb	NUMBp|CASEa
ամիս	ամսեան	N	Nb	NUMBs|CASEl
ամուլ	ամլոցʻ	A	A-	NUMBp|CASEd
ամուլ	ամուլ	A	A-	NUMBs|CASEn
ամպ	ամպ	N	Nb	NUMBs|CASEa
ամպ	ամպ	N	Nb	NUMBs|CASEn
ամպ	ամպո՛վքʻ	N	Nb	NUMBp|CASEi
ամպ	ամպոյ	N	Nb	NUMBs|CASEb
ամպ	ամպով	N	Nb	NUMBs|CASEi
այգ	այգ	N	Nb	NUMBs|CASEn
այգեգործ	այգեգործ	N	Nb	NUMBs|CASEa
այգի	այգի	N	Nb	NUMBs|CASEa
