lemma;form;armLemma;armForm;pos;pos_coarse;feats
Bētʻłeem;Betʻłeem;Բէթղեեմ;Բեթղեեմ;N;Ne;NUMBs|CASEn
Dawitʻ;Dawitʻ;Դաւիթ;Դաւիթ;N;Ne;NUMBs|CASEn
Dawitʻ;Dawtʻi;Դաւիթ;Դաւթի;N;Ne;NUMBs|CASEg
Emmawows;Emmawóws;Եմմաւուս;Եմմաւո՛ւս;N;Ne;NUMBs|CASEn
Erikʻov;Erikʻov;Երիքով;Երիքով;N;Ne;NUMBs|CASEa
Erowsałem;Erowsałem;Երուսաղեմ;Երուսաղեմ;N;Ne;NUMBs|CASEa
Erowsałem;Erowsałem;Երուսաղեմ;Երուսաղեմ;N;Ne;NUMBs|CASEn
Erowsałem;Erowsałemi;Երուսաղեմ;Երուսաղեմի;N;Ne;NUMBs|CASEg
Erowsałem;Erowsałemē;Երուսաղեմ;Երուսաղեմէ;N;Ne;NUMBs|CASEb
Erowsałem;Erowsałém;Երուսաղեմ;Երուսաղե՛մ;N;Ne;NUMBs|CASEa
Erowsałem;Erowsałém;Երուսաղեմ;Երուսաղե՛մ;N;Ne;NUMBs|CASEl
Erowsałem;Erowsałém;Երուսաղեմ;Երուսաղե՛մ;N;Ne;NUMBs|CASEv
Ełisabetʻ;Ełisabetʻ;Եղիսաբեթ;Եղիսաբեթ;N;Ne;NUMBs|CASEn
Ełisabetʻ;Ełisabetʻi;Եղիսաբեթ;Եղիսաբեթի;N;Ne;NUMBs|CASEd
Ełisabetʻ;Ełisábetʻ;Եղիսաբեթ;Եղիսա՛բեթ;N;Ne;NUMBs|CASEn
Ełisabetʻ;Ēłisabetʻ;Եղիսաբեթ;Էղիսաբեթ;N;Ne;NUMBs|CASEn
Ełisē;Ełiseiw;Եղիսէ;Եղիսեիւ;N;Ne;NUMBs|CASEi
Gagatʻn;Gagatʻn;Գագաթն;Գագաթն;N;Nb;NUMBs|CASEa
Gałiłea;Gałiłea;Գաղիղեա;Գաղիղեա;N;Ne;NUMBs|CASEa
Gałiłea;Gałiłea;Գաղիղեա;Գաղիղեա;N;Ne;NUMBs|CASEl
Gałiłea;Gałiłeay;Գաղիղեա;Գաղիղեայ;N;Ne;NUMBs|CASEg
Gałiłea;Gałiłeá;Գաղիղեա;Գաղիղեա՛;N;Ne;NUMBs|CASEa
Gałiłea;Gałiłeē;Գաղիղեա;Գաղիղեէ;N;Ne;NUMBs|CASEb
Gałiłea;Gałiłeē̈;Գաղիղեա;Գաղիղեէ;N;Ne;NUMBs|CASEb
Gałiłeacʻi;Gałiłeacʻi;Գաղիղեացի;Գաղիղեացի;N;Nb;NUMBs|CASEn
Gałiłeacʻi;Gałiłeacʻikʻ;Գաղիղեացի;Գաղիղեացիք;N;Nb;NUMBp|CASEn
Gałiłeacʻi;Gałiłeacʻis;Գաղիղեացի;Գաղիղեացիս;N;Nb;NUMBp|CASEa
Gałiłeacʻi;Gałiłeacʻwocʻ;Գաղիղեացի;Գաղիղեացւոց;N;Nb;NUMBp|CASEg
Gergesacʻi;Gergesacʻwocʻ;Գերգեսացի;Գերգեսացւոց;N;Ne;NUMBp|CASEg
Gergesacʻi;Gergesacʻwócʻ;Գերգեսացի;Գերգեսացւո՛ց;N;Ne;NUMBp|CASEg
Herovdia;Hēr_ov_dia;Հերովդիա;Հէր_ով_դիա;N;Ne;NUMBs|CASEg
Hreay;hrēicʻ;Հրեայ;հրէից;N;Nb;NUMBp|CASEb
Isahak;Isahak;Իսահակ;Իսահակ;N;Ne;NUMBs|CASEa
Isahak;Sahakay;Իսահակ;Սահակայ;N;Ne;NUMBs|CASEg
Iskariovtacʻi;Iskariovtacʻi;Իսկարիովտացի;Իսկարիովտացի;N;Ne;NUMBs|CASEa
Iskariovtacʻi;Iskariovtacʻi;Իսկարիովտացի;Իսկարիովտացի;N;Ne;NUMBs|CASEn
Israyeł;Israyeł;Իսրայեղ;Իսրայեղ;N;Ne;NUMBs|CASEa
Israyeł;Israyełi;Իսրայեղ;Իսրայեղի;N;Ne;NUMBs|CASEd
Israyeł;Israyełi;Իսրայեղ;Իսրայեղի;N;Ne;NUMBs|CASEg
Israyeł;Israyełi;Իսրայեղ;Իսրայեղի;N;Ne;NUMBs|CASEl
Itowracʻi;ı̈towracʻwocʻ;Իտուրացի;իտուրացւոց;N;Nb;NUMBp|CASEg
Kiwrenios;Kiwreneay;Կիւրենիոս;Կիւրենեայ;N;Ne;NUMBs|CASEg
Kiwrēnacʻi;Kiwrēnacʻi;Կիւրէնացի;Կիւրէնացի;N;Nb;NUMBs|CASEa
Kłeopas;Kłeópas;Կղեոպաս;Կղեո՛պաս;N;Ne;NUMBs|CASEn
Kʻorazin;Kʻorazin;Քորազին;Քորազին;N;Ne;NUMBs|CASEv
Kʻowzas;Kʻowzay;Քուզաս;Քուզայ;N;Ne;NUMBs|CASEg
Kʻristos;Kʻristos;Քրիստոս;Քրիստոս;N;Ne;NUMBs|CASEa
Kʻristos;Kʻristos;Քրիստոս;Քրիստոս;N;Ne;NUMBs|CASEn
Kʻristos;Kʻristosi;Քրիստոս;Քրիստոսի;N;Ne;NUMBs|CASEd
Liwsani;Lisaneay;Լիւսանի;Լիսանեայ;N;Ne;NUMBs|CASEg
Makdałēnacʻi;Magdałēnacʻi;Մակդաղէնացի;Մագդաղէնացի;N;Ne;NUMBs|CASEn
Makdałēnacʻi;Makdałēnacʻi;Մակդաղէնացի;Մակդաղէնացի;N;Ne;NUMBs|CASEn
Martʻa;Martʻa;Մարթա;Մարթա;N;Ne;NUMBs|CASEn
Martʻa;Mártʻa;Մարթա;Մա՛րթա;N;Ne;NUMBs|CASEv
Mattʻeos;Mattʻéos;Մատթեոս;Մատթե՛ոս;N;Ne;NUMBs|CASEa
Movsēs;Movsēs;Մովսէս;Մովսէս;N;Ne;NUMBs|CASEa
Movsēs;Movsēs;Մովսէս;Մովսէս;N;Ne;NUMBs|CASEn
Movsēs;Movsēsi;Մովսէս;Մովսէսի;N;Ne;NUMBs|CASEd
Movsēs;Movsēsi;Մովսէս;Մովսէսի;N;Ne;NUMBs|CASEg
Movsēs;Movsēsí;Մովսէս;Մովսէսի՛;N;Ne;NUMBs|CASEd
Movsēs;Movsēsē;Մովսէս;Մովսէսէ;N;Ne;NUMBs|CASEb
Nayin;Nayin;Նային;Նային;N;Ne;NUMBs|CASEn
Nazarētʻ;Nazaretʻ;Նազարէթ;Նազարեթ;N;Ne;NUMBs|CASEa
Nazarētʻ;Nazaretʻ;Նազարէթ;Նազարեթ;N;Ne;NUMBs|CASEn
Nazarētʻ;Nazaretʻē;Նազարէթ;Նազարեթէ;N;Ne;NUMBs|CASEb
Nazovrecʻi;Nazovracʻwoy;Նազովրեցի;Նազովրացւոյ;N;Nb;NUMBs|CASEb
Nazovrecʻi;Nazovrecʻi;Նազովրեցի;Նազովրեցի;N;Nb;NUMBs|CASEn
Nazovrecʻi;Nazovrecʻi;Նազովրեցի;Նազովրեցի;N;Nb;NUMBs|CASEv
Neeman;Neeman;Նեեման;Նեեման;N;Ne;NUMBs|CASEn
Ninowēacʻi;Ninowēacʻikʻ;Նինուէացի;Նինուէացիք;N;Nb;NUMBp|CASEn
Ninowēacʻi;Ninowēacʻwocʻ;Նինուէացի;Նինուէացւոց;N;Nb;NUMBp|CASEd
Noy;Noy;Նոյ;Նոյ;N;Ne;NUMBs|CASEn
Noy;Noyi;Նոյ;Նոյի;N;Ne;NUMBs|CASEg
Petros;P_et_ros;Պետրոս;Պ_ետ_րոս;N;Ne;NUMBs|CASEn
Petros;Petr_os_;Պետրոս;Պետր_ոս_;N;Ne;NUMBs|CASEn
Petros;Petros;Պետրոս;Պետրոս;N;Ne;NUMBs|CASEa
Petros;Petros;Պետրոս;Պետրոս;N;Ne;NUMBs|CASEn
Petros;Pétre;Պետրոս;Պե՛տրե;N;Ne;NUMBs|CASEv
Petros;Pétros;Պետրոս;Պե՛տրոս;N;Ne;NUMBs|CASEa
Piłatos;Piłatos;Պիղատոս;Պիղատոս;N;Ne;NUMBs|CASEa
Piłatos;Piłatos;Պիղատոս;Պիղատոս;N;Ne;NUMBs|CASEn
Piłatos;Piłatosi;Պիղատոս;Պիղատոսի;N;Ne;NUMBs|CASEg
Pontacʻi;Pontacʻwoy;Պոնտացի;Պոնտացւոյ;N;Nb;NUMBs|CASEg
Probatikē;Probatikē;Պրոբատիկէ;Պրոբատիկէ;F;F-;INFLn
Pʻanowēł;Pʻanowēłi;Փանուէղ;Փանուէղի;N;Ne;NUMBs|CASEg
Pʻarisecʻi;Pʻarisecʻwocʻ;Փարիսեցի;Փարիսեցւոց;M;Mo;NUMBp|CASEd
Pʻiłippos;Pʻiłipposi;Փիղիպպոս;Փիղիպպոսի;N;Ne;NUMBs|CASEg
Pʻiłippos;Pʻiłíppos;Փիղիպպոս;Փիղի՛պպոս;N;Ne;NUMBs|CASEa
Sadowkecʻi;Sadowkecʻwocʻ;Սադուկեցի;Սադուկեցւոց;N;Nb;NUMBp|CASEb
Samaracʻi;Samaracʻi;Սամարացի;Սամարացի;N;Nb;NUMBs|CASEn
Samaracʻi;Samaracʻwocʻ;Սամարացի;Սամարացւոց;N;Nb;NUMBp|CASEg
Samaracʻi;Samaracʻí;Սամարացի;Սամարացի՛;N;Nb;NUMBs|CASEn
Samaria;Samareay;Սամարիա;Սամարեայ;N;Ne;NUMBs|CASEg
Sarepʻtʻa;Sarepʻtʻa;Սարեփթա;Սարեփթա;N;Ne;NUMBs|CASEa
Sałomovn;Sałovmovn;Սաղոմովն;Սաղովմովն;N;Ne;NUMBs|CASEa
Sałomovn;Sałovmovn;Սաղոմովն;Սաղովմովն;N;Ne;NUMBs|CASEn
Sałomovn;Sałovmovni;Սաղոմովն;Սաղովմովնի;N;Ne;NUMBs|CASEg
Sidonacʻi;Sidovnacʻwocʻ;Սիդոնացի;Սիդովնացւոց;N;Nb;NUMBp|CASEg
Sidovn;Sidovn;Սիդովն;Սիդովն;N;Ne;NUMBs|CASEl
Sidovn;Sidovni;Սիդովն;Սիդովնի;N;Ne;NUMBs|CASEd
Sidovn;Sidovni;Սիդովն;Սիդովնի;N;Ne;NUMBs|CASEg
Simeovn;Simeovn;Սիմեովն;Սիմեովն;N;Ne;NUMBs|CASEn
Simovn;Simovn;Սիմովն;Սիմովն;N;Ne;NUMBs|CASEa
Simovn;Simovn;Սիմովն;Սիմովն;N;Ne;NUMBs|CASEn
Simovn;Simovn;Սիմովն;Սիմովն;N;Ne;NUMBs|CASEv
Simovn;Simovni;Սիմովն;Սիմովնի;N;Ne;NUMBs|CASEd
Simovn;Simovni;Սիմովն;Սիմովնի;N;Ne;NUMBs|CASEg
Simovn;Símovn;Սիմովն;Սի՛մովն;N;Ne;NUMBs|CASEa
Siłovam;Siłovam;Սիղովամ;Սիղովամ;A;A-;NUMBs|CASEl
Sodom;Sodomay;Սոդոմ;Սոդոմայ;N;Ne;NUMBs|CASEl
Sodomacʻi;Sodomacʻwocʻ;Սոդոմացի;Սոդոմացւոց;N;Nb;NUMBp|CASEd
Tiwros;Tiwros;Տիւրոս;Տիւրոս;N;Ne;NUMBs|CASEl
Tiwros;Tiwrosi;Տիւրոս;Տիւրոսի;N;Ne;NUMBs|CASEd
Tiwros;Tiwrosi;Տիւրոս;Տիւրոսի;N;Ne;NUMBs|CASEg
Trakʻonacʻi;Trakʻonacʻwocʻ;Տրաքոնացի;Տրաքոնացւոց;N;Nb;NUMBp|CASEg
Tēr;TN;Տէր;ՏՆ;N;Nb;NUMBs|CASEg
Tēr;Tear̄n;Տէր;Տեառն;N;Nb;NUMBs|CASEd
Tēr;Tear̄n;Տէր;Տեառն;N;Nb;NUMBs|CASEg
Tēr;Tear̄nē;Տէր;Տեառնէ;N;Nb;NUMBs|CASEb
Tēr;Teár̄n;Տէր;Տեա՛ռն;N;Nb;NUMBs|CASEd
Tēr;Tēr;Տէր;Տէր;N;Nb;NUMBs|CASEa
Tēr;Tēr;Տէր;Տէր;N;Nb;NUMBs|CASEn
Tēr;Tēr;Տէր;Տէր;N;Nb;NUMBs|CASEv
Tēr;Tḗr;Տէր;Տէ՛ր;N;Nb;NUMBs|CASEn
Tēr;Tḗr;Տէր;Տէ՛ր;N;Nb;NUMBs|CASEv
Tēr;tearkʻ;Տէր;տեարք;N;Nb;NUMBp|CASEn
Tēr;tear̄n;Տէր;տեառն;N;Nb;NUMBs|CASEd
Tēr;terancʻ;Տէր;տերանց;N;Nb;NUMBp|CASEd
Tēr;tēr;Տէր;տէր;N;Nb;NUMBs|CASEn
Tʻeopʻiłos;Tʻeopʻiłē;Թեոփիղոս;Թեոփիղէ;N;Ne;NUMBs|CASEv
Tʻovmas;Tʻóvmas;Թովմաս;Թո՛վմաս;N;Ne;NUMBs|CASEa
Yakovb;Yakovbay;Յակովբ;Յակովբայ;N;Ne;NUMBs|CASEg
Yakovb;Yakovbos;Յակովբ;Յակովբոս;N;Ne;NUMBs|CASEa
Yakovbos;Yakovb_os_;Յակովբոս;Յակովբ_ոս_;N;Ne;NUMBs|CASEa
Yakovbos;Yakovbos;Յակովբոս;Յակովբոս;N;Ne;NUMBs|CASEa
Yakovbos;Yakovbos;Յակովբոս;Յակովբոս;N;Ne;NUMBs|CASEn
Yakovbos;Yákovbos;Յակովբոս;Յա՛կովբոս;N;Ne;NUMBs|CASEa
Yayros;Yayros;Յայրոս;Յայրոս;N;Ne;NUMBs|CASEn
Yisows;Yisows;Յիսուս;Յիսուս;N;Ne;NUMBs|CASEa
Yisows;Yisows;Յիսուս;Յիսուս;N;Ne;NUMBs|CASEn
Yisows;Yisows;Յիսուս;Յիսուս;N;Ne;NUMBs|CASEv
Yisows;Yisowsi;Յիսուս;Յիսուսի;N;Ne;NUMBs|CASEd
Yisows;Yisowsi;Յիսուս;Յիսուսի;N;Ne;NUMBs|CASEg
Yisows;Yisowsē;Յիսուս;Յիսուսէ;N;Ne;NUMBs|CASEb
Yisows;Yisóws;Յիսուս;Յիսո՛ւս;N;Ne;NUMBs|CASEn
Yisows;Yisóws;Յիսուս;Յիսո՛ւս;N;Ne;NUMBs|CASEv
Yordanan;Yordananē;Յորդանան;Յորդանանէ;N;Ne;NUMBs|CASEb
Yordanan;yordananow;Յորդանան;յորդանանու;N;Ne;NUMBs|CASEg
Yovanna;Yovanna;Յովաննա;Յովաննա;N;Ne;NUMBs|CASEn
Yovhanna;Yovhanna;Յովհաննա;Յովհաննա;N;Ne;NUMBs|CASEn
Yovnan;Yovnan;Յովնան;Յովնան;N;Ne;NUMBs|CASEa
Yovnan;Yovnan;Յովնան;Յովնան;N;Ne;NUMBs|CASEn
Yovnan;Yovnanow;Յովնան;Յովնանու;N;Ne;NUMBs|CASEg
Yovsēpʻ;Yovsēpʻ;Յովսէփ;Յովսէփ;N;Ne;NUMBs|CASEa
Yovsēpʻ;Yovsēpʻ;Յովսէփ;Յովսէփ;N;Ne;NUMBs|CASEn
Yovsēpʻ;Yovsēpʻay;Յովսէփ;Յովսէփայ;N;Ne;NUMBs|CASEg
Yákovb;Yakovb;Յա՛կովբ;Յակովբ;N;Ne;NUMBs|CASEa
Zakkʻēos;Zakkʻēos;Զակքէոս;Զակքէոս;N;Ne;NUMBs|CASEn
Zakkʻēos;Zakkʻḗ;Զակքէոս;Զակքէ՛;N;Ne;NUMBs|CASEv
Zakkʻēos;Zakkʻḗos;Զակքէոս;Զակքէ՛ոս;N;Ne;NUMBs|CASEn
Zakʻaria;Zakʻaria;Զաքարիա;Զաքարիա;N;Ne;NUMBs|CASEn
Zakʻaria;Zakʻariay;Զաքարիա;Զաքարիայ;N;Ne;NUMBs|CASEd
Zakʻaria;Zakʻariay;Զաքարիա;Զաքարիայ;N;Ne;NUMBs|CASEg
Zakʻaria;Zakʻaría;Զաքարիա;Զաքարի՛ա;N;Ne;NUMBs|CASEn
Zakʻaria;Zakʻaría;Զաքարիա;Զաքարի՛ա;N;Ne;NUMBs|CASEv
Zakʻaria;Zakʻária;Զաքարիա;Զաքա՛րիա;N;Ne;NUMBs|CASEa
Zakʻaria;Zakʻária;Զաքարիա;Զաքա՛րիա;N;Ne;NUMBs|CASEn
Zebedeos;Zebedeay;Զեբեդեոս;Զեբեդեայ;N;Ne;NUMBs|CASEg
agahowtʻiwn;agahowtʻenē;ագահութիւն;ագահութենէ;N;Nb;NUMBs|CASEb
aganim#1;aganēr;ագանիմ#1;ագանէր;V;V-;PERS3|NUMBs|TENSi|MOODi|VOICa
aganim#2;aganel;ագանիմ#2;ագանել;V;V-;MOODn
aganim#2;aganiǰikʻ;ագանիմ#2;ագանիջիք;V;V-;PERS2|NUMBp|TENSp|MOODs|VOICa
aganim#2;aganél;ագանիմ#2;ագանե՛լ;V;V-;MOODn
aganim#2;aganḗr;ագանիմ#2;ագանէ՛ր;V;V-;PERS3|NUMBs|TENSi|MOODi|VOICa
aganim#2;agir;ագանիմ#2;ագիր;V;V-;PERS2|NUMBs|TENSa|MOODm|VOICp
aganim#2;agǰikʻ;ագանիմ#2;ագջիք;V;V-;PERS2|NUMBp|TENSa|MOODs|VOICa
agarak;agarak;ագարակ;ագարակ;N;Nb;NUMBs|CASEa
agarak;agaraks;ագարակ;ագարակս;N;Nb;NUMBp|CASEa
agarak;agaraks;ագարակ;ագարակս;N;Nb;NUMBp|CASEl
agarak;agarakí;ագարակ;ագարակի՛;N;Nb;NUMBs|CASEl
agarak;agarakē;ագարակ;ագարակէ;N;Nb;NUMBs|CASEb
agowcʻanem;agowcʻēkʻ;ագուցանեմ;ագուցէք;V;V-;PERS2|NUMBp|TENSa|MOODm|VOICa
agr̄aw;agr̄aws;ագռաւ;ագռաւս;N;Nb;NUMBp|CASEa
ah;ah;ահ;ահ;N;Nb;NUMBs|CASEn
ah;ahi;ահ;ահի;N;Nb;NUMBs|CASEl
ah;ahiw;ահ;ահիւ;N;Nb;NUMBs|CASEi
ah;áh;ահ;ա՛հ;N;Nb;NUMBs|CASEn
aha;Aha;ահա;Ահա;I;I-;INFLn
aha;aha;ահա;ահա;I;I-;INFLn
ahawadik;ahawadik;ահաւադիկ;ահաւադիկ;I;I-;INFLn
ahawanik;ahawanik;ահաւանիկ;ահաւանիկ;I;I-;INFLn
ahawasik;ahawasik;ահաւասիկ;ահաւասիկ;I;I-;INFLn
aheł;aheł;ահեղ;ահեղ;A;A-;INFLn
akan;akan;ական;ական;N;Nb;NUMBs|CASEa
akanates;akanateskʻ;ականատես;ականատեսք;N;Nb;NUMBp|CASEn
akn;Akn;ակն;Ակն;N;Nb;NUMBs|CASEa
akn;akan;ակն;ական;N;Nb;NUMBs|CASEl
akn;akanē;ակն;ականէ;N;Nb;NUMBs|CASEb
akn;akn;ակն;ակն;N;Nb;NUMBs|CASEa
akn;akn;ակն;ակն;N;Nb;NUMBs|CASEn
akn;ačʻacʻ;ակն;աչաց;N;Nb;NUMBp|CASEd
akn;ačʻkʻ;ակն;աչք;N;Nb;NUMBp|CASEn
akn;ačʻs;ակն;աչս;N;Nb;NUMBp|CASEa
akn;ákn;ակն;ա՛կն;N;Nb;NUMBs|CASEa
akn;ákn;ակն;ա՛կն;N;Nb;NUMBs|CASEn
aknarkem;aknarkein;ակնարկեմ;ակնարկեին;V;V-;PERS3|NUMBp|TENSi|MOODi|VOICa
aliwr;aler;ալիւր;ալեր;N;Nb;NUMBs|CASEl
am;am;ամ;ամ;N;Nb;NUMBs|CASEa
am;amacʻ;ամ;ամաց;N;Nb;NUMBp|CASEb
am;amacʻ;ամ;ամաց;N;Nb;NUMBp|CASEd
am;amacʻ;ամ;ամաց;N;Nb;NUMBp|CASEg
am;ami.ami;ամ;ամի.ամի;N;Nb;NUMBs|CASEl
am;ami;ամ;ամի;N;Nb;NUMBs|CASEl
am;amkʻ;ամ;ամք;N;Nb;NUMBp|CASEn
am;ams;ամ;ամս;N;Nb;NUMBp|CASEa
am;amē;ամ;ամէ;N;Nb;NUMBs|CASEb
amar̄n;amar̄n;ամառն;ամառն;N;Nb;NUMBs|CASEn
amawtʻ;amawtʻ;ամաւթ;ամաւթ;N;Nb;NUMBs|CASEa
amawtʻ;amawtʻí;ամաւթ;ամաւթի՛;N;Nb;NUMBs|CASEl
amawtʻ;amawtʻóv;ամաւթ;ամաւթո՛վ;N;Nb;NUMBs|CASEi
amawtʻ;amáwtʻ;ամաւթ;ամա՛ւթ;N;Nb;NUMBs|CASEa
amačʻem;amačʻem;ամաչեմ;ամաչեմ;V;V-;PERS1|NUMBs|TENSp|MOODi|VOICa
amačʻem;amačʻēr;ամաչեմ;ամաչէր;V;V-;PERS3|NUMBs|TENSi|MOODi|VOICa
ambartawan;ambartawans;ամբարտաւան;ամբարտաւանս;A;A-;NUMBp|CASEa
ambar̄nam;ambarj;ամբառնամ;ամբարձ;V;V-;PERS3|NUMBs|TENSa|MOODi|VOICa
ambar̄nam;ambarjeal;ամբառնամ;ամբարձեալ;V;V-;NUMBs|MOODp|CASEn
ambar̄nam;ambarjǰikʻ;ամբառնամ;ամբարձջիք;V;V-;PERS2|NUMBp|TENSa|MOODs|VOICa
ambar̄nam;ambar̄nal;ամբառնամ;ամբառնալ;V;V-;MOODn
ambastanowtʻiwn;ambastanowtʻiwn;ամբաստանութիւն;ամբաստանութիւն;N;Nb;NUMBs|CASEn
ambox;ambox;ամբոխ;ամբոխ;N;Nb;NUMBs|CASEn
ambox;amboxi;ամբոխ;ամբոխի;N;Nb;NUMBs|CASEg
ambox;amboxē;ամբոխ;ամբոխէ;N;Nb;NUMBs|CASEb
amenayn;Amenayn;ամենայն;Ամենայն;P;Py;NUMBs|CASEn
amenayn;Amenayni;ամենայն;Ամենայնի;P;Py;NUMBs|CASEd
amenayn;amenayn;ամենայն;ամենայն;P;Py;INFLn
amenayn;amenayn;ամենայն;ամենայն;P;Py;NUMBs|CASEa
amenayn;amenayn;ամենայն;ամենայն;P;Py;NUMBs|CASEn
amenayn;amenayni;ամենայն;ամենայնի;P;Py;NUMBs|CASEd
amenayn;amenayni;ամենայն;ամենայնի;P;Py;NUMBs|CASEg
amenayn;amenayni;ամենայն;ամենայնի;P;Py;NUMBs|CASEl
amenayn;amenayniw;ամենայն;ամենայնիւ;P;Py;NUMBs|CASEi
amenayn;amenaynē;ամենայն;ամենայնէ;P;Py;NUMBs|CASEb
amenayn;amenáyn;ամենայն;ամենա՛յն;P;Py;NUMBs|CASEa
amenayn;amenáyn;ամենայն;ամենա՛յն;P;Py;NUMBs|CASEn
amenekʻean;amenecʻown;ամենեքեան;ամենեցուն;P;Py;NUMBp|CASEd
amenekʻean;amenecʻown;ամենեքեան;ամենեցուն;P;Py;NUMBp|CASEg
amenekʻean;amenecʻowncʻ;ամենեքեան;ամենեցունց;P;Py;NUMBp|CASEb
amenekʻean;amenecʻowncʻ;ամենեքեան;ամենեցունց;P;Py;NUMBp|CASEd
amenekʻean;amenekʻean;ամենեքեան;ամենեքեան;P;Py;NUMBp|CASEn
amenekʻean;amenesean;ամենեքեան;ամենեսեան;P;Py;NUMBp|CASEa
amenekʻin;amenekʻean;ամենեքին;ամենեքեան;P;Py;NUMBp|CASEn
amenekʻin;amenekʻin;ամենեքին;ամենեքին;P;Py;NUMBp|CASEn
amenekʻin;amenekʻowmbkʻ;ամենեքին;ամենեքումբք;P;Py;NUMBp|CASEi
amenekʻin;amenesin;ամենեքին;ամենեսին;P;Py;NUMBp|CASEa
amenekʻin;amenesin;ամենեքին;ամենեսին;P;Py;NUMBp|CASEl
amenewin;amenewin;ամենեւին;ամենեւին;D;Df;INFLn
amis;amis;ամիս;ամիս;N;Nb;NUMBs|CASEa
amis;amis;ամիս;ամիս;N;Nb;NUMBs|CASEn
amis;amiss;ամիս;ամիսս;N;Nb;NUMBp|CASEa
amis;amsean;ամիս;ամսեան;N;Nb;NUMBs|CASEl
amowl;amlocʻ;ամուլ;ամլոց;A;A-;NUMBp|CASEd
amowl;amowl;ամուլ;ամուլ;A;A-;NUMBs|CASEn
amp;amp;ամպ;ամպ;N;Nb;NUMBs|CASEa
amp;amp;ամպ;ամպ;N;Nb;NUMBs|CASEn
amp;ampov;ամպ;ամպով;N;Nb;NUMBs|CASEi
amp;ampoy;ամպ;ամպոյ;N;Nb;NUMBs|CASEb
amp;ampóvkʻ;ամպ;ամպո՛վք;N;Nb;NUMBp|CASEi
amēn;Amḗn;ամէն;Ամէ՛ն;I;I-;INFLn
